season,season_type,game_type,team,week,gsis_id,position,player_name,first_name,last_name,injury_type,report_secondary_injury,status,practice_primary_injury,practice_secondary_injury,practice_participation,scraped_at,source
2026,REG,REG,JAX,1,00-0040238,RB,LeQuint Allen Jr.,LeQuint,Allen,Hip,,Questionable,Hip,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0032762,DT,Chris Jones,Christopher,Jones,,,DNP,Calf,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0033873,QB,Patrick Mahomes,Patrick,Mahomes,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0036374,CB,L'Jarius Sneed,L'Jarius,Sneed,,,Limited,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0036660,G,Trey Smith,Henry,Smith,,,Full,Hip,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0037208,LB,Jack Cochrane,Jack,Cochrane,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0038982,S,Chamarri Conner,Chamarri,Conner,Knee,,Out,Knee,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0039067,WR,Rashee Rice,Rashee,Rice,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0039894,WR,Xavier Worthy,Xavier,Worthy,,,Full,Shoulder,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0040116,T,Josh Simmons,Josh,Simmons,Back,,Out,Back,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0040640,DE,Ashton Gillotte,Ashton,Gillotte,,,Full,Foot,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,KC,1,00-0041501,DE,R Mason Thomas,R Mason,Thomas,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0031388,DE,Aaron Donald,Aaron,Donald,Not injury related - resting player,,Out,Not injury related - resting player,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0033110,TE,Tyler Higbee,Tyler,Higbee,,,Full,Not injury related - resting player,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0033868,LB,Myles Garrett,Myles,Garrett,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0036603,T,Alaric Jackson,Alaric,Jackson,,,Full,Not injury related - resting player,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0036672,LB,Grant Stuard,Grant,Stuard,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0037195,CB,Jaylen Watson,Jaylen,Watson,,,Full,Toe,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LA,1,00-0039137,LB,Byron Young,Byron,Young,,,Full,Not injury related - resting player,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LAC,1,00-0031040,DE,Khalil Mack,Khalil,Mack,,,Full,Not injury related - resting player,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LAC,1,00-0037320,CB,Deane Leonard,Deane,Leonard,Abdomen,,Out,Abdomen,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LAC,1,00-0038454,RB,Keaton Mitchell,Keaton,Mitchell,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LAC,1,00-0039111,DE,Tuli Tuipulotu,Tuli,Tuipulotu,Hip,,Questionable,Hip,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LAC,1,00-0040221,S,R.J. Mickens,R.J.,Mickens,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
