player_id,player_name,game_id,season,week,team,opponent,passing_yards,pass_tds,completions,attempts,interceptions,game_date,completion_pct,passing_yards_L3,passing_yards_L5,passing_yards_L10,passing_yards_std_L5,pass_tds_L3,pass_tds_L5,pass_tds_L10,pass_tds_std_L5,completions_L3,completions_L5,completions_L10,completions_std_L5,attempts_L3,attempts_L5,attempts_L10,attempts_std_L5,interceptions_L3,interceptions_L5,interceptions_L10,interceptions_std_L5
00-0033400,M.Haack,2025_18_ARI_LA,2025,18,ARI,LA,28.0,0.0,1.0,1.0,0.0,2026-01-04,100.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0033466,I.McKenzie,2020_10_BUF_ARI,2020,10,BUF,ARI,12.0,1.0,1.0,1.0,0.0,2020-11-15,100.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0033537,D.Watson,2020_01_HOU_KC,2020,1,HOU,KC,253.0,1.0,20.0,33.0,1.0,2020-09-10,60.6,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0033537,D.Watson,2020_02_BAL_HOU,2020,2,HOU,BAL,275.0,1.0,25.0,36.0,1.0,2020-09-20,69.4,253.0,253.0,253.0,0.0,1.0,1.0,1.0,0.0,20.0,20.0,20.0,0.0,33.0,33.0,33.0,0.0,1.0,1.0,1.0,0.0
00-0033537,D.Watson,2020_03_HOU_PIT,2020,3,HOU,PIT,264.0,2.0,19.0,27.0,1.0,2020-09-27,70.4,264.0,260.33333333333337,257.0,15.556349186104045,1.0,1.0,1.0,0.0,22.5,21.666666666666668,20.90909090909091,3.5355339059327378,34.5,34.0,33.54545454545454,2.1213203435596424,1.0,1.0,1.0,0.0
00-0033537,D.Watson,2020_04_MIN_HOU,2020,4,HOU,MIN,300.0,2.0,20.0,33.0,0.0,2020-10-04,60.6,264.0,261.5555555555556,258.27272727272725,10.786387432600117,1.5,1.3333333333333335,1.1818181818181817,0.5883484054145521,20.75,20.77777777777778,20.561983471074377,2.8689317229186955,30.75,31.666666666666668,32.35537190082644,4.363308554120548,1.0,1.0,1.0,0.0
00-0033537,D.Watson,2020_05_JAX_HOU,2020,5,HOU,JAX,359.0,3.0,25.0,35.0,2.0,2020-10-11,71.4,282.0,274.37037037037044,265.8595041322314,22.766054403051612,1.75,1.5555555555555558,1.330578512396694,0.5816750507471109,20.375,20.51851851851852,20.45980465815176,2.2385884381656056,31.875,32.111111111111114,32.472577009767086,3.4215152954931,0.5,0.6666666666666667,0.8181818181818181,0.5518254055364692
00-0033537,D.Watson,2020_06_HOU_TEN,2020,6,HOU,TEN,335.0,4.0,28.0,38.0,0.0,2020-10-18,73.7,320.5,302.5802469135803,282.7941397445529,48.97207040364278,2.375,2.037037037037037,1.6341096919609313,0.903995887507927,22.6875,22.01234567901235,21.285294720305988,2.9960984410326783,33.4375,33.074074074074076,32.9321084625367,3.13381192176291,1.25,1.1111111111111112,1.0330578512396693,0.8405843668044858
00-0033537,D.Watson,2020_07_GB_HOU,2020,7,HOU,GB,309.0,2.0,29.0,39.0,0.0,2020-10-25,74.4,327.75,313.3868312757202,292.2861143364524,43.13560973522501,3.1875,2.6913580246913584,2.064271566149853,1.2735840656404818,25.34375,24.0082304526749,22.506150225704896,3.998378602878966,35.71875,34.71604938271605,33.85354328753003,3.6416909490713287,0.625,0.7407407407407408,0.8452291510142749,0.8998060971646139
00-0033537,D.Watson,2020_09_HOU_JAX,2020,9,HOU,JAX,281.0,2.0,19.0,32.0,0.0,2020-11-08,59.4,318.375,311.9245541838135,295.3250026389156,35.12545312266722,2.59375,2.4609053497942392,2.05258582684988,1.0975644906816129,27.171875,25.6721536351166,23.68685018466764,4.186872881006514,37.359375,36.144032921810705,34.7892626897973,3.72731454742022,0.3125,0.49382716049382724,0.6915511235571339,0.8295338262455875
00-0033537,D.Watson,2020_10_HOU_CLE,2020,10,HOU,CLE,163.0,1.0,20.0,30.0,0.0,2020-11-15,66.7,299.6875,301.61636945587566,292.72045670456725,32.94779727937686,2.296875,2.3072702331961596,2.043024767422629,0.9267470902477228,23.0859375,23.44810242341107,22.834695605637158,4.903560473249141,34.6796875,34.76268861454047,34.28212401892506,3.7428329147401107,0.15625,0.3292181069958849,0.5658145556376549,0.724398403137582
00-0033537,D.Watson,2020_11_NE_HOU,2020,11,HOU,NE,344.0,2.0,28.0,37.0,0.0,2020-11-22,75.7,231.34375,255.4109129705838,269.13491912191864,77.8962404029963,1.6484375,1.8715134887974398,1.8533839006185144,1.0231890436748203,21.54296875,22.298734948940712,22.31929640461222,4.393977046732489,32.33984375,33.17512574302698,33.503556015484136,3.953719235539289,0.078125,0.21947873799725662,0.462939181885354,0.6158906753393915
00-0033537,D.Watson,2020_12_HOU_DET,2020,12,HOU,DET,318.0,4.0,17.0,26.0,0.0,2020-11-26,65.4,287.671875,284.9406086470559,282.7467520088425,78.88774186180837,1.82421875,1.91434232586496,1.8800413732333299,0.83781981203413,24.771484375,24.199156632627144,23.35215160377363,4.67927154521891,34.669921875,34.450083828684654,34.13927310357793,3.805126868129815,0.0390625,0.14631915866483777,0.37876842154256235,0.5158068646035565
00-0033537,D.Watson,2020_13_IND_HOU,2020,13,HOU,IND,341.0,0.0,26.0,38.0,1.0,2020-12-06,68.4,302.8359375,295.960405764704,289.15643346178024,66.71560255262459,2.912109375,2.60956155057664,2.2654883962818153,1.2947869735024073,20.8857421875,21.799437755084767,22.197214948542058,5.384470583363377,30.3349609375,31.633389219123103,32.65940526656376,5.430416058900359,0.01953125,0.09754610577655852,0.309901435807551,0.42808091247155916
00-0033537,D.Watson,2020_14_HOU_CHI,2020,14,HOU,CHI,219.0,1.0,21.0,30.0,0.0,2020-12-13,70.0,321.91796875,310.973603843136,298.58253646872924,59.41703637886061,1.4560546875,1.739707700384427,1.853581415139667,1.7347418489008863,23.44287109375,23.199625170056514,22.8886304124435,4.922101838000359,34.16748046875,33.75559281274874,33.63042249082489,5.56032397537641,0.509765625,0.39836407051770567,0.4353739020243599,0.5902603597761304
00-0033537,D.Watson,2020_15_HOU_IND,2020,15,HOU,IND,373.0,2.0,33.0,41.0,0.0,2020-12-20,80.5,270.458984375,280.31573589542404,284.11298438350576,68.58072951143187,1.22802734375,1.4931384669229515,1.698384794205182,1.46903728319169,22.221435546875,22.466416780037676,22.5452430647265,4.182613755268901,32.083740234375,32.503728541832494,32.970345674311275,4.9525832685176745,0.2548828125,0.2655760470118038,0.3562150107472035,0.525679129142191
00-0033537,D.Watson,2020_16_CIN_HOU,2020,16,HOU,CIN,324.0,3.0,24.0,33.0,0.0,2020-12-27,72.7,321.7294921875,311.2104905969494,300.2742599501411,74.30826667948824,1.614013671875,1.6620923112819677,1.7532239225315123,1.2288334303468675,27.6107177734375,25.977611186691785,24.446107962048952,6.518012181224223,36.5418701171875,35.335819027888334,34.430282824436496,6.033563215388875,0.12744140625,0.17705069800786924,0.29144864515680285,0.45145540061967493
00-0033537,D.Watson,2020_17_TEN_HOU,2020,17,HOU,TEN,365.0,3.0,28.0,40.0,1.0,2021-01-03,70.0,322.86474609375,315.4736603979663,304.5880308682972,61.04530076896223,2.3070068359375,2.1080615408546453,1.9799104820712372,1.2263360820205813,25.80535888671875,25.318407457794525,24.364997423494597,5.423002833928543,34.77093505859375,34.55721268525889,34.17023140181168,5.07784286084784,0.063720703125,0.11803379867191284,0.2384579824010205,0.3802370941044573
00-0033537,D.Watson,2022_13_CLE_HOU,2022,13,CLE,HOU,131.0,0.0,12.0,22.0,1.0,2022-12-04,54.5,343.932373046875,331.98244026531086,315.5720252558795,56.2644593607288,2.65350341796875,2.4053743605697635,2.16538130351283,1.1061564186786772,26.902679443359375,26.212271638529685,25.025906982859212,4.647939188452468,37.385467529296875,36.37147512350593,35.230189328755,5.0416723505445065,0.5318603515625,0.4120225324479419,0.3769201674190168,0.5589819042715904
00-0033537,D.Watson,2022_14_CLE_CIN,2022,14,CLE,CIN,276.0,1.0,26.0,42.0,1.0,2022-12-11,61.9,237.4661865234375,264.98829351020726,282.01347520935593,115.46003088819269,1.326751708984375,1.603582907046509,1.7716756119650425,1.556565625831579,19.451339721679688,21.47484775901979,22.657560258702986,8.397039755546741,29.692733764648438,31.580983415670623,32.82470035989046,8.620774382229712,0.76593017578125,0.6080150216319613,0.49020740970646826,0.5516696820916189
00-0033537,D.Watson,2022_15_BAL_CLE,2022,15,CLE,BAL,161.0,1.0,18.0,28.0,0.0,2022-12-17,64.3,256.73309326171875,268.65886234013817,280.9201160803821,94.45113605080743,1.1633758544921875,1.4023886046976728,1.6313709552441256,1.3101374956712897,22.725669860839844,22.98323183934653,23.26527657530244,7.259122038400056,35.84636688232422,35.05398894378042,34.49293665809219,8.927460616565966,0.882965087890625,0.7386766810879742,0.5828969715780195,0.4955541490045005
00-0033537,D.Watson,2022_16_NO_CLE,2022,16,CLE,NO,135.0,0.0,15.0,31.0,1.0,2022-12-24,48.4,208.86654663085938,232.77257489342546,259.11645861122173,95.74396519539535,1.0816879272460938,1.2682590697984486,1.51657623610883,1.0905425413115812,20.362834930419922,21.322154559564353,22.307953561611086,6.482887413982999,31.92318344116211,32.702659295853614,33.312402720257246,8.182596719667648,0.4414825439453125,0.4924511207253162,0.4769157040183795,0.5615010999120799
00-0033537,D.Watson,2022_17_CLE_WAS,2022,17,CLE,WAS,169.0,3.0,9.0,18.0,0.0,2023-01-01,50.0,171.9332733154297,200.181716595617,236.54982977281776,93.63055241172128,0.5408439636230469,0.8455060465322992,1.2408351022708608,1.1133981957164762,17.68141746520996,19.214769706376238,20.97923473222725,6.254696255300671,31.461591720581055,32.13510619723574,32.891965862028655,6.741058731939648,0.7207412719726562,0.6616340804835441,0.5720219396514015,0.5307976412102012
00-0033537,D.Watson,2022_18_CLE_PIT,2022,18,CLE,PIT,230.0,2.0,19.0,29.0,2.0,2023-01-08,65.5,170.46663665771484,189.7878110637447,224.2680425413963,78.19549927919907,1.7704219818115234,1.5636706976881996,1.5606832654943406,1.4545921135351476,13.34070873260498,15.809846470917494,18.801192053640477,7.420550660294333,24.730795860290527,27.423404131490496,30.18433570529617,9.262554959105596,0.3603706359863281,0.44108938698902944,0.4680179506238739,0.5562649113607357
