player_id,player_name,game_id,season,week,team,opponent,rushing_yards,rush_tds,rush_attempts,game_date,ypc,rushing_yards_L3,rushing_yards_L5,rushing_yards_L10,rushing_yards_std_L5,rush_tds_L3,rush_tds_L5,rush_tds_L10,rush_tds_std_L5,rush_attempts_L3,rush_attempts_L5,rush_attempts_L10,rush_attempts_std_L5
00-0034857,J.Allen,2022_06_BUF_KC,2022,6,BUF,KC,32.0,0.0,12.0,2022-10-16,2.7,48.84196112641985,49.77163612112033,51.022008839862025,20.37258884844347,0.28540540689004956,0.31850280050824054,0.33903448625729493,0.5512216846984621,6.910139681372584,7.217296200137895,7.483396483367764,3.7475397043472642
00-0034857,J.Allen,2022_08_GB_BUF,2022,8,BUF,GB,49.0,0.0,6.0,2022-10-30,8.2,40.42098056320992,43.84775741408022,47.56346177806893,19.089938840423855,0.14270270344502478,0.21233520033882705,0.2773918523923322,0.48035659889524246,9.455069840686292,8.81153080009193,8.304597122755442,3.9644246059589308
00-0034857,J.Allen,2022_09_BUF_NYJ,2022,9,BUF,NYJ,86.0,2.0,9.0,2022-11-06,9.6,44.71049028160496,45.565171609386816,47.82465054569276,15.82163988813055,0.07135135172251239,0.1415568002258847,0.2269569701391809,0.4078630442618036,7.727534920343146,7.874353866727954,7.885579464072634,3.559989674417916
00-0034857,J.Allen,2022_10_MIN_BUF,2022,10,BUF,MIN,84.0,0.0,6.0,2022-11-13,14.0,65.35524514080248,59.043447739591215,54.76562317374862,24.920727874031886,1.0356756758612562,0.7610378668172565,0.5493284301138752,1.0345498964506077,8.363767460171573,8.249569244485304,8.088201379695791,2.9666452608806178
00-0034857,J.Allen,2022_11_CLE_BUF,2022,11,BUF,CLE,7.0,0.0,3.0,2022-11-20,2.3,74.67762257040124,67.36229849306082,60.08096441488524,24.228839148707763,0.5178378379306281,0.5073585778781711,0.44945053372953425,0.9350999659157172,7.1818837300857865,7.49971282965687,7.708528401569283,2.6968563816201514
00-0034857,J.Allen,2022_12_BUF_DET,2022,12,BUF,DET,78.0,1.0,10.0,2022-11-24,7.8,40.83881128520062,47.24153232870722,50.42987997581519,37.462926232887824,0.25891891896531405,0.33823905191878073,0.3677322548696189,0.8089776465734633,5.090941865042893,5.999808553104581,6.852432328556686,3.2361970983094515
00-0034857,J.Allen,2022_13_BUF_NE,2022,13,BUF,NE,20.0,0.0,8.0,2022-12-01,2.5,59.41940564260031,57.49435488580482,55.442629071121516,34.61860993630719,0.629459459482657,0.5588260346125205,0.48269002671150635,0.746955887210559,7.545470932521447,7.333205702069721,7.424717359728198,3.3803625542598117
00-0034857,J.Allen,2022_14_NYJ_BUF,2022,14,BUF,NYJ,47.0,1.0,10.0,2022-12-11,4.7,39.709702821300155,44.99623659053655,48.99851469455396,34.48873494714503,0.3147297297413285,0.3725506897416803,0.3949282036730506,0.6772800936288362,7.772735466260723,7.555470468046481,7.52931420341398,2.7823379972572297
00-0034857,J.Allen,2022_15_MIA_BUF,2022,15,BUF,MIA,77.0,0.0,11.0,2022-12-17,7.0,43.35485141065008,45.66415772702437,48.63514838645324,28.179730104829492,0.6573648648706643,0.5817004598277868,0.5049412575506778,0.6443326904389286,8.886367733130362,8.370313645364321,7.978529802793256,2.611677621065528
00-0034857,J.Allen,2022_16_BUF_CHI,2022,16,BUF,CHI,41.0,1.0,6.0,2022-12-24,6.8,60.177425705325035,56.10943848468291,53.79239413437083,28.322391338299845,0.32868243243533213,0.38780030655185793,0.4131337561778272,0.6089085187830632,9.943183866565182,9.246875763576215,8.52788802046721,2.5432543846995133
00-0034857,J.Allen,2022_18_NE_BUF,2022,18,BUF,NE,16.0,0.0,9.0,2023-01-08,1.8,50.58871285266252,51.07295898978861,51.46650429175795,24.457866117115813,0.6643412162176661,0.591866871034572,0.5198367096000405,0.5926952249516612,7.971591933282591,8.164583842384143,8.068272016745897,2.690814885907786
00-0034857,J.Allen,2022_19_MIA_BUF,2022,19,BUF,MIA,20.0,0.0,4.0,2023-01-15,5.0,33.29435642633126,39.38197265985908,45.01804896598377,27.211934515668048,0.33217060810883303,0.39457791402304804,0.4253209442182149,0.5757595717980475,8.485795966641295,8.443055894922763,8.23767710461028,2.2407267891455738
00-0034857,J.Allen,2022_20_CIN_BUF,2022,20,BUF,CIN,26.0,1.0,8.0,2023-01-22,3.2,26.64717821316563,32.92131510657272,40.46931279035036,24.454239443814803,0.16608530405441652,0.2630519426820321,0.34798986345126676,0.5140496984932894,6.242897983320647,6.962037263281842,7.4671903583175006,2.971662525237114
00-0034857,J.Allen,2023_01_BUF_NYJ,2023,1,BUF,NYJ,36.0,0.0,6.0,2023-09-11,6.0,26.323589106582816,30.614210071048483,37.83852864665029,20.29729173960503,0.5830426520272083,0.5087012951213548,0.4665371610055819,0.571859894757455,7.121448991660324,7.308024842187896,7.564064838623409,2.487258320820791
00-0034857,J.Allen,2023_02_LV_BUF,2023,2,BUF,LV,7.0,0.0,3.0,2023-09-17,2.3,31.161794553291408,32.40947338069899,37.50425071089569,16.81400588356432,0.29152132601360414,0.3391341967475699,0.38171222264093063,0.5384220726176945,6.560724495830161,6.872016561458598,7.2796894134191525,2.1446586414834115
